text,category
Cult.fit DELHI IN,Personal Care
More Supermarket GURGAON IN,Groceries
Flipkart Ref#32258551,Shopping & Clothing
UPI/Kidzee/amit.706@oksbi/Payment/KOTAK,Kids Activities
POS RedBus GURGAON,Travel
POS Zerodha MUMBAI,Investments & Savings Transfer
monthly subscription renewal for JioHotstar,Entertainment & Subscriptions
Refund Credit Ref#53780558,Income & Deposits
IMPS-3310428516-SNEHA VERMA-KOTAK-Refund Credit,Income & Deposits
paid Lifestyle Stores for new outfit,Shopping & Clothing
UPI-Overdraft Interest Charge-suresh.414@oksbi-KOTAK-617993990-UPI,Fees & Interest
bought vegetables and essentials at Swiggy Instamart,Groceries
HDFC ATM Withdrawal Ref#25082431,ATM & Cash
internet bill paid to BESCOM,Utilities
annual premium for Max Bupa Health,Insurance
UPI/ATM Cash Withdrawal/anita.838@ybl/Payment/YES BANK,ATM & Cash
medical checkup payment to Practo Consultation,Hospital & Medical
Airbnb DELHI IN,Travel
HDFC ATM Withdrawal cash withdrawal,ATM & Cash
ACH/TP ACH Upstox 8388030660,Investments & Savings Transfer
NEFT Dr-HDFC0000521-ANITA JOSHI-ATM Cash Withdrawal,ATM & Cash
UPI/HP Petrol Pump/ritu.995@paytm/Payment/AXIS,Transportation & Gas
UPI-INOX Movies-suresh.472@paytm-YES BANK-869167007-UPI,Entertainment & Subscriptions
Upstox Ref#25959817,Investments & Savings Transfer
hospital bill paid to Columbia Asia,Hospital & Medical
Flipkart Ref#09076202,Shopping & Clothing
UPI-Spencer's-kavya.987@okicici-ICICI-348136760-UPI,Groceries
travel booking payment to Cleartrip,Travel
POS Bajaj Allianz BANGALORE,Insurance
Sushil Medical Store Ref#66507215,Hospital & Medical
IMPS-0366358979-KAVYA CHOPRA-HDFC-Zomato,Eating Out
UPI-Netmeds-sneha.878@okhdfcbank-KOTAK-711203034-UPI,Medicine & Pharmacy
UPI/Vodafone Idea/anita.186@ybl/Payment/ICICI,Utilities
monthly Tata Power bill payment,Utilities
ACH/TP ACH Apollo Pharmacy 8925395882,Medicine & Pharmacy
UPI-Kidzee-pooja.517@okicici-AXIS-542495687-UPI,Kids Activities
POS Apollo Pharmacy DELHI,Medicine & Pharmacy
IMPS-5815283767-RAHUL DESAI-AXIS-IndiGo Airlines,Travel
NEFT Dr-SBI0000319-MEERA IYER-Reliance Fresh,Groceries
insurance premium paid to Max Bupa Health,Insurance
bank charged Late Payment Fee,Fees & Interest
Vedantu Ref#32324633,Education
SIP auto debit for PPF Deposit,Investments & Savings Transfer
OYO Rooms HYDERABAD IN,Travel
Udemy DELHI IN,Education
pharmacy bill paid at Practo Pharmacy,Medicine & Pharmacy
transferred savings to HDFC Mutual Fund SIP,Investments & Savings Transfer
SIP auto debit for Self Fund Transfer to FD,Investments & Savings Transfer
IRCTC Ref#29309867,Transportation & Gas
ACH/TP ACH Adani Electricity 3758898660,Utilities
dinner at Behrouz Biryani with friends,Eating Out
rent transfer to landlord via HDFC Home Loan EMI,Rent & Mortgage
ordered food from Zomato,Eating Out
IMPS-7351988951-PRIYA VERMA-ICICI-Overdraft Interest Charge,Fees & Interest
Nykaa Fashion Ref#52956184,Shopping & Clothing
weekly grocery shopping at Star Bazaar,Groceries
ACH/TP ACH SBI ATM Withdrawal 6860678004,ATM & Cash
UPI-Faasos-sneha.151@ybl-KOTAK-989981424-UPI,Eating Out
POS Employer Payroll CHENNAI,Income & Deposits
Overdraft Interest Charge Ref#48108918,Fees & Interest
UPI-Overdraft Interest Charge-pooja.910@oksbi-KOTAK-961969725-UPI,Fees & Interest
UPI-Employer Payroll-divya.404@paytm-HDFC-035400086-UPI,Income & Deposits
Urban Company GURGAON IN,Personal Care
internet bill paid to BSES Rajdhani,Utilities
payment received: Dividend Credit,Income & Deposits
paid electricity bill to Vodafone Idea,Utilities
ACH/TP ACH SBI ATM Withdrawal 2908826136,ATM & Cash
bought clothes online from Myntra,Shopping & Clothing
paid electricity bill to BSES Rajdhani,Utilities
dinner at Domino's Pizza with friends,Eating Out
bank charged Late Payment Fee,Fees & Interest
IMPS-4281173472-AMIT NAIR-YES BANK-SBI ATM Withdrawal,ATM & Cash
cash withdrawn from ATM Cash Withdrawal,ATM & Cash
Housing.com Rent Ref#35139635,Rent & Mortgage
ACH/TP ACH HDFC Life Insurance 7422805287,Insurance
UPI-SMS Alert Charges-karan.425@okhdfcbank-SBI-202751144-UPI,Fees & Interest
UPI-PPF Deposit-rahul.596@okaxis-HDFC-135644741-UPI,Investments & Savings Transfer
ICICI Home Loan EMI Ref#55686939,Rent & Mortgage
bought medicines from MedPlus,Medicine & Pharmacy
NEFT Dr-ICICI0000719-VIKRAM JOSHI-PVR Cinemas,Entertainment & Subscriptions
paid 24Seven for groceries,Groceries
UPI-Barbeque Nation-divya.726@ybl-IDFC-608269111-UPI,Eating Out
IMPS-3521225777-KAVYA MALHOTRA-IDFC-Annual Card Fee,Fees & Interest
POS HDFC Home Loan EMI MUMBAI,Rent & Mortgage
Park+ Parking PUNE IN,Transportation & Gas
UPI/Coursera/vikram.909@okhdfcbank/Payment/KOTAK,Education
Practo Pharmacy PUNE IN,Medicine & Pharmacy
ACH/TP ACH HDFC Home Loan EMI 2690535970,Rent & Mortgage
course payment on School Fee Payment,Education
BSES Rajdhani HYDERABAD IN,Utilities
bought clothes online from Max Fashion,Shopping & Clothing
HDFC Home Loan EMI PUNE IN,Rent & Mortgage
salon appointment at Naturals Salon,Personal Care
utility bill for ACT Fibernet,Utilities
UPI/Ola Cabs/neha.127@okhdfcbank/Payment/SBI,Transportation & Gas
POS Bharat Petroleum MUMBAI,Transportation & Gas
UPI/GST on Bank Charges/karan.251@oksbi/Payment/ICICI,Fees & Interest
UPI-Practo Pharmacy-vikas.121@ybl-IDFC-620746915-UPI,Medicine & Pharmacy
UPI/Airbnb/manoj.756@okaxis/Payment/YES BANK,Travel
ACH/TP ACH HP Petrol Pump 8062744493,Transportation & Gas
NEFT Dr-SBI0000484-AMIT JOSHI-Max Bupa Health,Insurance
UPI-Coursera-ritu.571@paytm-HDFC-731518995-UPI,Education
POS Kumon Learning PUNE,Kids Activities
Indian Oil Petrol Pump PUNE IN,Transportation & Gas
UPI-School Fee Payment-ritu.333@okhdfcbank-AXIS-531537220-UPI,Education
Columbia Asia DELHI IN,Hospital & Medical
POS GST on Bank Charges PUNE,Fees & Interest
coffee at Third Wave Coffee,Eating Out
UPI/Rapido/sanjay.533@ybl/Payment/ICICI,Transportation & Gas
NEFT Dr-IDFC0000685-ROHAN GUPTA-ICICI Home Loan EMI,Rent & Mortgage
ICICI Home Loan EMI Ref#67722979,Rent & Mortgage
Star Health Insurance policy renewal payment,Insurance
Kumon Learning Ref#14553748,Kids Activities
train ticket booked via RedBus,Travel
tuition fee paid to School Fee Payment,Education
ACH/TP ACH SBI ATM Withdrawal 3502536454,ATM & Cash
kids class fee paid to Kumon Learning,Kids Activities
NEFT Dr-KOTAK0000995-MEERA IYER-Star Health Insurance,Insurance
Adani Electricity GURGAON IN,Utilities
bought medicines from Wellness Forever,Medicine & Pharmacy
IMPS-9025456739-DIVYA CHOPRA-YES BANK-Myntra,Shopping & Clothing
lab test fee at Cadabams Hospital,Hospital & Medical
salon appointment at Jawed Habib,Personal Care
UPI/Naturals Salon/pooja.656@paytm/Payment/ICICI,Personal Care
purchased prescription at Apollo Pharmacy,Medicine & Pharmacy
NEFT Dr-KOTAK0000531-SANJAY VERMA-Cadabams Hospital,Hospital & Medical
UPI/SMS Alert Charges/amit.696@okaxis/Payment/YES BANK,Fees & Interest
POS Nykaa Fashion CHENNAI,Shopping & Clothing
ATM Cash Withdrawal HYDERABAD IN,ATM & Cash
ACH/TP ACH HDFC Life Insurance 4014556302,Insurance
IMPS-4977575166-SURESH IYER-IDFC-OYO Rooms,Travel
GST on Bank Charges deducted from account,Fees & Interest
IMPS-1227397464-VIKRAM REDDY-ICICI-Urban Company,Personal Care
POS MakeMyTrip GURGAON,Travel
UPI/1mg Pharmacy/rohan.630@okicici/Payment/AXIS,Medicine & Pharmacy
PVR Cinemas Ref#11948403,Entertainment & Subscriptions
Wellness Forever CHENNAI IN,Medicine & Pharmacy
IMPS-2368529068-PRIYA SHARMA-AXIS-Domino's Pizza,Eating Out
hotel booked through Goibibo,Travel
monthly subscription renewal for JioHotstar,Entertainment & Subscriptions
POS Urban Company CHENNAI,Personal Care
bought vegetables and essentials at Spencer's,Groceries
IMPS-8746640394-MEERA DESAI-KOTAK-Employer Payroll,Income & Deposits
payment received: Refund Credit,Income & Deposits
SBI ATM Withdrawal GURGAON IN,ATM & Cash
semester fee via BYJU'S,Education
NEFT Dr-SBI0000712-PRIYA NAIR-Star Health Insurance,Insurance
purchased prescription at MedPlus,Medicine & Pharmacy
IMPS-7590483793-KARAN SHARMA-KOTAK-Udemy,Education
POS Dividend Credit MUMBAI,Income & Deposits
IMPS-5670649276-NEHA NAIR-KOTAK-Practo Consultation,Hospital & Medical
paid Namma Metro for a ride,Transportation & Gas
gym membership fee for Naturals Salon,Personal Care
movie tickets booked on PVR Cinemas,Entertainment & Subscriptions
Jio Fiber Ref#37332964,Utilities
fuel filled at Indian Oil Petrol Pump,Transportation & Gas
IMPS-2977214415-KAVYA KAPOOR-YES BANK-HDFC Home Loan EMI,Rent & Mortgage
bought vegetables and essentials at BigBasket,Groceries
ACH/TP ACH FASTag Recharge 9411790278,Transportation & Gas
UPI/Spotify Premium/amit.416@okicici/Payment/SBI,Entertainment & Subscriptions
HDFC ATM Withdrawal cash withdrawal,ATM & Cash
HDFC Life Insurance Ref#16793849,Insurance
Zara DELHI IN,Shopping & Clothing
bought medicines from Practo Pharmacy,Medicine & Pharmacy
grocery order from Swiggy Instamart,Groceries
UPI/SMS Alert Charges/kavya.745@ybl/Payment/IDFC,Fees & Interest
monthly rent paid via Property Owner NEFT,Rent & Mortgage
received Freelance Payment Received this month,Income & Deposits
Cadabams Hospital Ref#96345702,Hospital & Medical
internet bill paid to Tata Power,Utilities
IMPS-3761122032-MEERA IYER-AXIS-ICICI Prudential MF,Investments & Savings Transfer
ACH/TP ACH HDFC Mutual Fund SIP 9668739843,Investments & Savings Transfer
POS OYO Rooms DELHI,Travel
annual premium for Star Health Insurance,Insurance
SMS Alert Charges Ref#38815869,Fees & Interest
UPI/SBI ATM Withdrawal/neha.839@okhdfcbank/Payment/HDFC,ATM & Cash
UPI-Groww-vikas.186@ybl-KOTAK-113165413-UPI,Investments & Savings Transfer
payment received: Salary Credit,Income & Deposits
UPI-INOX Movies-rahul.853@okicici-HDFC-435224929-UPI,Entertainment & Subscriptions
Overdraft Interest Charge deducted from account,Fees & Interest
POS NPS Contribution CHENNAI,Investments & Savings Transfer
UPI/Chai Point/neha.170@oksbi/Payment/HDFC,Eating Out
UPI/HP Petrol Pump/ritu.808@oksbi/Payment/SBI,Transportation & Gas
bank charged Annual Card Fee,Fees & Interest
transferred savings to ICICI Prudential MF,Investments & Savings Transfer
medical checkup payment to Columbia Asia,Hospital & Medical
Manipal Hospital Ref#07228319,Hospital & Medical
tuition fee paid to School Fee Payment,Education
UPI-Naturals Salon-manoj.839@okicici-KOTAK-400703189-UPI,Personal Care
POS Cafe Coffee Day DELHI,Eating Out
ACH/TP ACH Overdraft Interest Charge 2250921798,Fees & Interest
penalty charge: GST on Bank Charges,Fees & Interest
ACH/TP ACH HDFC ATM Withdrawal 5771172870,ATM & Cash
ACH/TP ACH School Fee Payment 1145403053,Education
Jawed Habib HYDERABAD IN,Personal Care
Fortis Healthcare Ref#47610091,Hospital & Medical
ACH/TP ACH Annual Card Fee 6664840346,Fees & Interest
Dividend Credit credited to account,Income & Deposits
IMPS-5632844614-MANOJ NAIR-AXIS-PVR Cinemas,Entertainment & Subscriptions
ACH/TP ACH LIC Premium 6980712668,Insurance
salon appointment at Naturals Salon,Personal Care
ACH/TP ACH Amazon Shopping 4392810456,Shopping & Clothing
Upstox Ref#65386872,Investments & Savings Transfer
HDFC ATM Withdrawal cash withdrawal,ATM & Cash
paid for JioHotstar membership,Entertainment & Subscriptions
UPI/Barbeque Nation/anjali.158@ybl/Payment/YES BANK,Eating Out
coffee at Subway,Eating Out
Airtel Postpaid BANGALORE IN,Utilities
IMPS-3760633532-ANITA CHOPRA-HDFC-HDFC Home Loan EMI,Rent & Mortgage
received Dividend Credit this month,Income & Deposits
bought clothes online from Max Fashion,Shopping & Clothing
IMPS-7613214345-VIKAS MENON-YES BANK-Cult.fit,Personal Care
NEFT Dr-YES BANK0000642-VIKRAM MENON-Bajaj Allianz,Insurance
POS Rapido HYDERABAD,Transportation & Gas
POS Practo Pharmacy CHENNAI,Medicine & Pharmacy
UPI/PVR Cinemas/karan.619@ybl/Payment/IDFC,Entertainment & Subscriptions
Refund Credit Ref#54146643,Income & Deposits
utility bill for BSES Rajdhani,Utilities
pharmacy bill paid at 1mg Pharmacy,Medicine & Pharmacy
kids class fee paid to EuroKids,Kids Activities
IMPS-8484068330-MEERA REDDY-AXIS-PVR Cinemas,Entertainment & Subscriptions
Employer Payroll CHENNAI IN,Income & Deposits
semester fee via Udemy,Education
exam fee paid to Vedantu,Education
NEFT Dr-SBI0000468-ARJUN VERMA-School Fee Payment,Education
cab ride booked with Bharat Petroleum,Transportation & Gas
PPF Deposit Ref#38866056,Investments & Savings Transfer
pharmacy bill paid at Apollo Pharmacy,Medicine & Pharmacy
UPI-Lakme Salon-karan.485@oksbi-AXIS-831555659-UPI,Personal Care
NEFT Dr-AXIS0000445-MEERA MALHOTRA-Zerodha,Investments & Savings Transfer
POS Lakme Salon PUNE,Personal Care
POS GST on Bank Charges BANGALORE,Fees & Interest
dinner at Starbucks Coffee with friends,Eating Out
grocery order from JioMart Grocery,Groceries
monthly Jio Fiber bill payment,Utilities
IMPS-3844865366-RITU GUPTA-HDFC-Lakme Salon,Personal Care
lab test fee at Cadabams Hospital,Hospital & Medical
NEFT Dr-SBI0000613-VIKRAM SHARMA-NoBroker Rent Payment,Rent & Mortgage
UPI-HDFC Home Loan EMI-sanjay.180@okhdfcbank-SBI-872706517-UPI,Rent & Mortgage
UPI/Bangalore Water Board/anjali.872@oksbi/Payment/YES BANK,Utilities
Columbia Asia Ref#99928840,Hospital & Medical
bought clothes online from Max Fashion,Shopping & Clothing
Sony LIV subscription auto debit,Entertainment & Subscriptions
NEFT Dr-IDFC0000132-KARAN MENON-Spencer's,Groceries
bought medicines from PharmEasy,Medicine & Pharmacy
bank charged Overdraft Interest Charge,Fees & Interest
Bachpan Play School Ref#76346579,Kids Activities
POS Employer Payroll DELHI,Income & Deposits
hospital bill paid to Sushil Medical Store,Hospital & Medical
Sushil Medical Store Ref#12085920,Hospital & Medical
Practo Pharmacy MUMBAI IN,Medicine & Pharmacy
dinner at Zomato with friends,Eating Out
paid Swiggy Instamart for groceries,Groceries
travel booking payment to Airbnb,Travel
spa session payment at Cult.fit,Personal Care
UPI-Park+ Parking-sanjay.373@okaxis-IDFC-044912132-UPI,Transportation & Gas
medical checkup payment to Practo Consultation,Hospital & Medical
NEFT Dr-IDFC0000261-ANJALI PILLAI-Apple Music,Entertainment & Subscriptions
salon appointment at Urban Company,Personal Care
monthly subscription renewal for YouTube Premium,Entertainment & Subscriptions
UPI-Ola Cabs-anita.648@okhdfcbank-ICICI-657203516-UPI,Transportation & Gas
school van fee for Kidzee,Kids Activities
IMPS-8580065674-RAHUL RAO-KOTAK-INOX Movies,Entertainment & Subscriptions
course payment on Unacademy,Education
NEFT Dr-KOTAK0000212-ROHAN SHARMA-MakeMyTrip,Travel
NEFT Dr-AXIS0000202-ROHAN REDDY-H&M,Shopping & Clothing
transferred savings to Groww,Investments & Savings Transfer
POS Star Health Insurance GURGAON,Insurance
NEFT Dr-AXIS0000621-ARJUN MENON-Practo Pharmacy,Medicine & Pharmacy
rent transfer to landlord via SBI Home Loan EMI,Rent & Mortgage
POS Practo Pharmacy HYDERABAD,Medicine & Pharmacy
transferred savings to PPF Deposit,Investments & Savings Transfer
IMPS-2298363942-KAVYA DESAI-YES BANK-JioMart Grocery,Groceries
coffee at Cafe Coffee Day,Eating Out
NEFT Dr-AXIS0000391-ANJALI RAO-Third Wave Coffee,Eating Out
ACH/TP ACH Cuemath 2436778995,Kids Activities
POS Star Health Insurance CHENNAI,Insurance
HDFC ATM Withdrawal cash withdrawal,ATM & Cash
ACH/TP ACH Cafe Coffee Day 0392744995,Eating Out
doctor consultation fee at Sushil Medical Store,Hospital & Medical
Bachpan Play School Ref#49238857,Kids Activities
ACH/TP ACH Apple Music 5319295201,Entertainment & Subscriptions
Interest Credit CHENNAI IN,Income & Deposits
Vodafone Idea BANGALORE IN,Utilities
ACH/TP ACH Max Healthcare 0659331184,Hospital & Medical
bought medicines from Apollo Pharmacy,Medicine & Pharmacy
HP Petrol Pump Ref#72126608,Transportation & Gas
Annual Card Fee PUNE IN,Fees & Interest
IMPS-4346708639-SNEHA BOSE-YES BANK-Coursera,Education
ACH/TP ACH College Tuition NEFT 8967482705,Education
paid Cult.fit for a haircut,Personal Care
POS Naturals Salon HYDERABAD,Personal Care
petrol bill at Bharat Petroleum,Transportation & Gas
NEFT Dr-HDFC0000837-POOJA RAO-Nykaa Fashion,Shopping & Clothing
POS Barbeque Nation GURGAON,Eating Out
Jio Fiber PUNE IN,Utilities
UPI/H&M/vikram.930@oksbi/Payment/YES BANK,Shopping & Clothing
school van fee for Kumon Learning,Kids Activities
lab test fee at Practo Consultation,Hospital & Medical
UPI-Cult.fit-vikas.760@okicici-KOTAK-693710275-UPI,Personal Care
IMPS-7672594619-ANITA PILLAI-HDFC-Netmeds,Medicine & Pharmacy
doctor consultation fee at Practo Consultation,Hospital & Medical
IMPS-3797887657-SANJAY RAO-YES BANK-LIC Premium,Insurance
UPI-Swiggy Instamart-karan.214@paytm-AXIS-449825198-UPI,Groceries
IMPS-5799512534-SURESH JOSHI-SBI-Employer Payroll,Income & Deposits
NEFT Dr-YES BANK0000102-AMIT DESAI-Groww,Investments & Savings Transfer
medical checkup payment to Columbia Asia,Hospital & Medical
UPI/Amazon Shopping/karan.112@paytm/Payment/IDFC,Shopping & Clothing
Practo Pharmacy Ref#70021788,Medicine & Pharmacy
IMPS-9337868765-POOJA KAPOOR-AXIS-Housing.com Rent,Rent & Mortgage
Amazon Prime Video subscription auto debit,Entertainment & Subscriptions
movie tickets booked on YouTube Premium,Entertainment & Subscriptions
UPI-Udemy-amit.482@okhdfcbank-SBI-426280960-UPI,Education
penalty charge: Late Payment Fee,Fees & Interest
Amazon Shopping CHENNAI IN,Shopping & Clothing
IndiGo Airlines Ref#77559439,Travel
paid Ajio for new outfit,Shopping & Clothing
UPI/Freelance Payment Received/divya.861@oksbi/Payment/SBI,Income & Deposits
bank charged Annual Card Fee,Fees & Interest
Unacademy GURGAON IN,Education
Columbia Asia GURGAON IN,Hospital & Medical
weekly grocery shopping at More Supermarket,Groceries
UPI-College Tuition NEFT-divya.256@okhdfcbank-HDFC-338466289-UPI,Education
Annual Card Fee Ref#20508284,Fees & Interest
UPI-Apollo Pharmacy-anjali.418@paytm-YES BANK-042819619-UPI,Medicine & Pharmacy
ACH/TP ACH Udemy 8840098509,Education
Urban Company Ref#09995131,Personal Care
